cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_pdf_parse,has_pmc_xml_parse,full_text_file,url
tvxpckxo,d09b79026117ec9faebba46a8d13aa9b23ec751e,PMC,A Method to Identify p62's UBA Domain Interacting Proteins,10.1251/bpo66,PMC302190,14702098,no-cc,"The UBA domain is a conserved sequence motif among polyubiquitin binding proteins. For the first time, we demonstrate a systematic, high throughput approach to identification of UBA domain-interacting proteins from a proteome-wide perspective. Using the rabbit reticulocyte lysate in vitro expression cloning system, we have successfully identified eleven proteins that interact with p62âs UBA domain, and the majority of the eleven proteins are associated with neurodegenerative disorders, such as Alzheimerâs disease. Therefore, p62 may play a novel regulatory role through its UBA domain. Our approach provides an easy route to the characterization of UBA domain interacting proteins and its application will unfold the important roles that the UBA domain plays.",2003-12-12,"Pridgeon, Julia W.; Geetha, Thangiah; Wooten, Marie W.",Biol Proced Online,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC302190/
ri5v6u4x,06559dd625491d6474ee88f08c12fc17c1830995,PMC,"Towards evidence-based, GIS-driven national spatial health information infrastructure and surveillance services in the United Kingdom",10.1186/1476-072x-3-1,PMC343292,14748927,no-cc,"The term ""Geographic Information Systems"" (GIS) has been added to MeSH in 2003, a step reflecting the importance and growing use of GIS in health and healthcare research and practices. GIS have much more to offer than the obvious digital cartography (map) functions. From a community health perspective, GIS could potentially act as powerful evidence-based practice tools for early problem detection and solving. When properly used, GIS can: inform and educate (professionals and the public); empower decision-making at all levels; help in planning and tweaking clinically and cost-effective actions, in predicting outcomes before making any financial commitments and ascribing priorities in a climate of finite resources; change practices; and continually monitor and analyse changes, as well as sentinel events. Yet despite all these potentials for GIS, they remain under-utilised in the UK National Health Service (NHS). This paper has the following objectives: (1) to illustrate with practical, real-world scenarios and examples from the literature the different GIS methods and uses to improve community health and healthcare practices, e.g., for improving hospital bed availability, in community health and bioterrorism surveillance services, and in the latest SARS outbreak; (2) to discuss challenges and problems currently hindering the wide-scale adoption of GIS across the NHS; and (3) to identify the most important requirements and ingredients for addressing these challenges, and realising GIS potential within the NHS, guided by related initiatives worldwide. The ultimate goal is to illuminate the road towards implementing a comprehensive national, multi-agency spatio-temporal health information infrastructure functioning proactively in real time. The concepts and principles presented in this paper can be also applied in other countries, and on regional (e.g., European Union) and global levels.",2004-01-28,"Boulos, Maged N Kamel",Int J Health Geogr,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC343292/
kuybfc1y,d81ae79ebc6462fd3de075e220992f1aae1f06ae,PMC,Descriptive review of geographic mapping of severe acute respiratory syndrome (SARS) on the Internet,10.1186/1476-072x-3-2,PMC343293,14748926,no-cc,"From geographic mapping at different scales to location-based alerting services, geoinformatics plays an important role in the study and control of global outbreaks like severe acute respiratory syndrome (SARS). This paper reviews several geographic mapping efforts of SARS on the Internet that employ a variety of techniques like choropleth rendering, graduated circles, graduated pie charts, buffering, overlay analysis and animation. The aim of these mapping services is to educate the public (especially travellers to potentially at-risk areas) and assist public health authorities in analysing the spatial and temporal trends and patterns of SARS and in assessing/revising current control measures.",2004-01-28,"Boulos, Maged N Kamel",Int J Health Geogr,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC343293/
ng4rrdte,87390d2ae28407b3e03e60a6b24a7fd99ed7229a,PMC,Pro/con clinical debate: Steroids are a key component in the treatment of SARS,10.1186/cc2452,PMC420028,15025770,no-cc,"SARS (severe acute respiratory syndrome) proved an enormous physical and emotional challenge to frontline health care workers throughout the world in late 2002 through to mid 2003. A large percentage of patients (many being health care workers themselves) became critically ill. Unfortunately, clinicians caring for these individuals did not have the advantage of previous experience or research data on which to base treatment decisions. As a result, at least early in the outbreak, a 'best guess approach' and/or anecdotes drove therapy. In many centres systemic steroids, which carry many potential downsides, became a mainstay of therapy. In this issue of Critical Care, two groups that have frontline experience of SARS debate the role of steroids. Let us hope and pray together that we never have the patient population needed to resolve the questions the two sides raise.",2004-01-26,"Gomersall, Charles D; Kargel, Marcus J; Lapinsky, Stephen E",Crit Care,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420028/
1769ovyk,c5131e5f5c6000ec84139edc64778a6f1d391b83,PMC,"8th Annual Toronto Critical Care Medicine Symposium, 30 Octoberâ1 November 2003, Toronto, Ontario, Canada",10.1186/cc2429,PMC420071,14975048,no-cc,,2004-01-02,"Granton, Jeff; Granton, John",Crit Care,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420071/
tixxm78q,8a7d5de5ea680e784ab2bd877240bf09e4c1c02d,PMC,Recently published papers: all the usual suspects and carbon dioxide,10.1186/cc2449,PMC420074,14975037,no-cc,,2004-01-02,"Ball, Jonathan",Crit Care,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420074/
pwsvhitd,e4b48ce0579f908da6dd3289bb2cc262dbdeae72,PMC,Detection of hepatitis C virus in the nasal secretions of an intranasal drug-user,10.1186/1476-0711-3-6,PMC421742,15132748,no-cc,"BACKGROUND: One controversial source of infection for hepatitis C virus (HCV) involves the sharing of contaminated implements, such as straws or spoons, used to nasally inhale cocaine and other powdered drugs. An essential precondition for this mode of transmission is the presence of HCV in the nasal secretions of intranasal drug users. METHODS: Blood and nasal secretion samples were collected from five plasma-positive chronic intranasal drug users and tested for HCV RNA using RT-PCR. RESULTS: HCV was detected in all five blood samples and in the nasal secretions of the subject with the highest serum viral load. CONCLUSIONS: This study is the first to demonstrate the presence of HCV in nasal secretions. This finding has implications for potential transmission of HCV through contact with contaminated nasal secretions.",2004-05-07,"McMahon, James M; Simm, Malgorzata; Milano, Danielle; Clatts, Michael",Ann Clin Microbiol Antimicrob,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC421742/
wt8zfqk0,52ce19fe79de46d9bb0fa7e75a0631fed2d3efd2,PMC,Bioinformatics analysis of SARS coronavirus genome polymorphism,10.1186/1471-2105-5-65,PMC434493,15161495,no-cc,"BACKGROUND: We have compared 38 isolates of the SARS-CoV complete genome. The main goal was twofold: first, to analyze and compare nucleotide sequences and to identify positions of single nucleotide polymorphism (SNP), insertions and deletions, and second, to group them according to sequence similarity, eventually pointing to phylogeny of SARS-CoV isolates. The comparison is based on genome polymorphism such as insertions or deletions and the number and positions of SNPs. RESULTS: The nucleotide structure of all 38 isolates is presented. Based on insertions and deletions and dissimilarity due to SNPs, the dataset of all the isolates has been qualitatively classified into three groups each having their own subgroups. These are the A-group with ""regular"" isolates (no insertions / deletions except for 5' and 3' ends), the B-group of isolates with ""long insertions"", and the C-group of isolates with ""many individual"" insertions and deletions. The isolate with the smallest average number of SNPs, compared to other isolates, has been identified (TWH). The density distribution of SNPs, insertions and deletions for each group or subgroup, as well as cumulatively for all the isolates is also presented, along with the gene map for TWH. Since individual SNPs may have occurred at random, positions corresponding to multiple SNPs (occurring in two or more isolates) are identified and presented. This result revises some previous results of a similar type. Amino acid changes caused by multiple SNPs are also identified (for the annotated sequences, as well as presupposed amino acid changes for non-annotated ones). Exact SNP positions for the isolates in each group or subgroup are presented. Finally, a phylogenetic tree for the SARS-CoV isolates has been produced using the CLUSTALW program, showing high compatibility with former qualitative classification. CONCLUSIONS: The comparative study of SARS-CoV isolates provides essential information for genome polymorphism, indication of strain differences and variants evolution. It may help with the development of effective treatment.",2004-05-25,"PavloviÄ-LaÅ¾etiÄ, Gordana M; MitiÄ, Nenad S; Beljanski, MiloÅ¡ V",BMC Bioinformatics,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC434493/
5gsbtfag,b499a41ad1d85a0e071b59e60065c874e534911d,PMC,Coronavirus 3CL(pro )proteinase cleavage sites: Possible relevance to SARS virus pathology,10.1186/1471-2105-5-72,PMC442122,15180906,no-cc,"BACKGROUND: Despite the passing of more than a year since the first outbreak of Severe Acute Respiratory Syndrome (SARS), efficient counter-measures are still few and many believe that reappearance of SARS, or a similar disease caused by a coronavirus, is not unlikely. For other virus families like the picornaviruses it is known that pathology is related to proteolytic cleavage of host proteins by viral proteinases. Furthermore, several studies indicate that virus proliferation can be arrested using specific proteinase inhibitors supporting the belief that proteinases are indeed important during infection. Prompted by this, we set out to analyse and predict cleavage by the coronavirus main proteinase using computational methods. RESULTS: We retrieved sequence data on seven fully sequenced coronaviruses and identified the main 3CL proteinase cleavage sites in polyproteins using alignments. A neural network was trained to recognise the cleavage sites in the genomes obtaining a sensitivity of 87.0% and a specificity of 99.0%. Several proteins known to be cleaved by other viruses were submitted to prediction as well as proteins suspected relevant in coronavirus pathology. Cleavage sites were predicted in proteins such as the cystic fibrosis transmembrane conductance regulator (CFTR), transcription factors CREB-RP and OCT-1, and components of the ubiquitin pathway. CONCLUSIONS: Our prediction method NetCorona predicts coronavirus cleavage sites with high specificity and several potential cleavage candidates were identified which might be important to elucidate coronavirus pathology. Furthermore, the method might assist in design of proteinase inhibitors for treatment of SARS and possible future diseases caused by coronaviruses. It is made available for public use at our website: .",2004-06-06,"Kiemer, Lars; Lund, Ole; Brunak, SÃ¸ren; Blom, Nikolaj",BMC Bioinformatics,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC442122/
fpj5urao,e9c78584c08ba79d735e150eff98297eb57f12dd; cdb29ec7a9029d22f6fbf7ee04543819591acdc2; 4a228865af2c19adf9386a5b04cca3ceb3c8683d,PMC,Moderate mutation rate in the SARS coronavirus genome and its implications,10.1186/1471-2148-4-21,PMC446188,15222897,no-cc,"BACKGROUND: The outbreak of severe acute respiratory syndrome (SARS) caused a severe global epidemic in 2003 which led to hundreds of deaths and many thousands of hospitalizations. The virus causing SARS was identified as a novel coronavirus (SARS-CoV) and multiple genomic sequences have been revealed since mid-April, 2003. After a quiet summer and fall in 2003, the newly emerged SARS cases in Asia, particularly the latest cases in China, are reinforcing a wide-spread belief that the SARS epidemic would strike back. With the understanding that SARS-CoV might be with humans for years to come, knowledge of the evolutionary mechanism of the SARS-CoV, including its mutation rate and emergence time, is fundamental to battle this deadly pathogen. To date, the speed at which the deadly virus evolved in nature and the elapsed time before it was transmitted to humans remains poorly understood. RESULTS: Sixteen complete genomic sequences with available clinical histories during the SARS outbreak were analyzed. After careful examination of multiple-sequence alignment, 114 single nucleotide variations were identified. To minimize the effects of sequencing errors and additional mutations during the cell culture, three strategies were applied to estimate the mutation rate by 1) using the closely related sequences as background controls; 2) adjusting the divergence time for cell culture; or 3) using the common variants only. The mutation rate in the SARS-CoV genome was estimated to be 0.80 â 2.38 Ã 10(-3 )nucleotide substitution per site per year which is in the same order of magnitude as other RNA viruses. The non-synonymous and synonymous substitution rates were estimated to be 1.16 â 3.30 Ã 10(-3 )and 1.67 â 4.67 Ã 10(-3 )per site per year, respectively. The most recent common ancestor of the 16 sequences was inferred to be present as early as the spring of 2002. CONCLUSIONS: The estimated mutation rates in the SARS-CoV using multiple strategies were not unusual among coronaviruses and moderate compared to those in other RNA viruses. All estimates of mutation rates led to the inference that the SARS-CoV could have been with humans in the spring of 2002 without causing a severe epidemic.",2004-06-28,"Zhao, Zhongming; Li, Haipeng; Wu, Xiaozhuang; Zhong, Yixi; Zhang, Keqin; Zhang, Ya-Ping; Boerwinkle, Eric; Fu, Yun-Xin",BMC Evol Biol,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/
wutnzzhg,017ca5bdac589a37196df7b8e077c4c371ab32da,PMC,Pro/con clinical debate: Isolation precautions for all intensive care unit patients with methicillin-resistant Staphylococcus aureus colonization are essential,10.1186/cc2817,PMC468889,15153232,no-cc,"Antibiotic-resistant bacteria are an increasingly common problem in intensive care units (ICUs), and they are capable of impacting on patient outcome, the ICU's budget and bed availability. This issue, coupled with recent outbreaks of illnesses that pose a direct risk to ICU staff (such as SARS [severe acute respiratory syndrome]), has led to renewed emphasis on infection control measures and practitioners in the ICU. Infection control measures frequently cause clinicians to practice in a more time consuming way. As a result it is not surprising that ensuring compliance with these measures is not always easy, particularly when their benefit is not immediately obvious. In this issue of Critical Care, two experts face off over the need to isolate patients infected with methicillin-resistant Staphylococcus aureus.",2004-02-19,"Farr, Barry M; Bellingan, Geoffrey",Crit Care,,,True,True,custom_license,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC468889/
